Date,Open,High,Low,Close,Adj Close,Volume,RSI_14_Day,Moving Average Convergence Divergence_MACD,True Strength Index TSI,SMA_20,SMA_50,Vol_Avg,Vol_Avg_Ind
2020-09-01,132.75999450683594,134.8000030517578,130.52999877929688,134.17999267578125,132.7637176513672,151948100,,0.0,,,,,
2020-09-02,137.58999633789062,137.97999572753906,127.0,131.39999389648438,130.01307678222656,200119000,0.0,-0.06237176748422257,,,,,
2020-09-03,126.91000366210938,128.83999633789062,120.5,120.87999725341797,119.60411834716797,257599600,0.0,-0.40569847816880156,,,,,
2020-09-04,120.06999969482422,123.69999694824219,110.88999938964844,120.95999908447266,119.68326568603516,332607200,0.6533103019541926,-0.5490191213179685,,,,,
2020-09-08,113.94999694824219,118.98999786376953,112.68000030517578,112.81999969482422,111.62918853759766,231366600,0.38074782536129703,-0.9392484899023543,,,,,
2020-09-09,117.26000213623047,119.13999938964844,115.26000213623047,117.31999969482422,116.08170318603516,176940500,20.201279969806976,-0.9637518778947651,,,,,
2020-09-10,120.36000061035156,120.5,112.5,113.48999786376953,112.2921142578125,182274400,17.085475146425424,-1.1363713856994195,,,,,
2020-09-11,114.56999969482422,115.2300033569336,110.0,112.0,110.81784057617188,180860300,16.04843539592548,-1.3047107363449442,,,,,
2020-09-14,114.72000122070312,115.93000030517578,112.80000305175781,115.36000061035156,114.14236450195312,140150100,26.833419185706987,-1.2347289799791668,,,,,
2020-09-15,118.33000183105469,118.83000183105469,113.61000061035156,115.54000091552734,114.32048034667969,184642000,27.371707688052084,-1.1578501968063648,,,,203850780.0,
2020-09-16,115.2300033569336,116.0,112.04000091552734,112.12999725341797,110.94647216796875,154679000,23.79950169548644,-1.26772836398888,,,,204123870.0,
2020-09-17,109.72000122070312,112.19999694824219,108.70999908447266,110.33999633789062,109.17535400390625,178011000,22.164298655366622,-1.4293648067019404,,,,201913070.0,
2020-09-18,110.4000015258789,110.87999725341797,106.08999633789062,106.83999633789062,105.71231079101562,287104900,19.362906857353167,-1.7279862544297373,,,,204863600.0,
2020-09-21,104.54000091552734,110.19000244140625,103.0999984741211,110.08000183105469,108.91810607910156,195713800,28.386456434223945,-1.7412871392496925,,,,191174260.0,
2020-09-22,112.68000030517578,112.86000061035156,109.16000366210938,111.80999755859375,110.62984466552734,183055400,32.715964413474396,-1.6264400870044682,,,,186343140.0,
2020-09-23,111.62000274658203,112.11000061035156,106.7699966430664,107.12000274658203,105.9893569946289,150718700,27.807771907096566,-1.803298907304523,,,,183720960.0,
2020-09-24,105.16999816894531,110.25,105.0,108.22000122070312,107.07775115966797,167743300,30.443519763646563,-1.8477267069348784,,,,182267850.0,
2020-09-25,108.43000030517578,112.44000244140625,107.66999816894531,112.27999877929688,111.09489440917969,149981400,39.258428371947055,-1.6030858368251444,,,,179179960.0,
2020-09-28,115.01000213623047,115.31999969482422,112.77999877929688,114.95999908447266,113.74659729003906,137672400,44.278360627033834,-1.223659501863068,,,,178932190.0,
2020-09-29,114.55000305175781,115.30999755859375,113.56999969482422,114.08999633789062,112.88578796386719,99382200,43.03498054461975,-0.9731620576555571,,113.87621726989747,,170406210.0,
2020-09-30,113.79000091552734,117.26000213623047,113.62000274658203,115.80999755859375,114.58763122558594,142675200,46.24860363241266,-0.6541631035438655,,112.9674129486084,,169205830.0,
2020-10-01,117.63999938964844,117.72000122070312,115.83000183105469,116.79000091552734,115.55729675292969,116120400,48.0469815667108,-0.33366113812940057,,112.24462394714355,,163016770.0,
2020-10-02,112.88999938964844,115.37000274658203,112.22000122070312,113.0199966430664,111.82707977294922,144712000,42.19797880585835,-0.33726753796695164,,111.85577201843262,,148777480.0,
2020-10-05,113.91000366210938,116.6500015258789,113.55000305175781,116.5,115.27034759521484,106243800,48.43776815113626,-0.09684825021247434,,111.6351261138916,,139830480.0,
2020-10-06,115.69999694824219,116.12000274658203,112.25,113.16000366210938,111.96560668945312,161498200,43.575687463429,-0.14089923173580132,,111.65194702148438,,137674760.0,
2020-10-07,114.62000274658203,115.55000305175781,114.12999725341797,115.08000183105469,113.8653335571289,96849000,46.876810326441266,-0.03872387837743929,,111.54112854003907,,132287790.0,
2020-10-08,116.25,116.4000015258789,114.58999633789062,114.97000122070312,113.7564926147461,83477200,46.70820644557449,0.033540556308949476,,111.61434745788574,,123861180.0,
2020-10-09,115.27999877929688,117.0,114.91999816894531,116.97000122070312,115.73538970947266,100506900,50.21437704503685,0.23250570660911762,,111.86022491455078,,118913730.0,
2020-10-12,120.05999755859375,125.18000030517578,119.27999877929688,124.4000015258789,123.08697509765625,240226800,60.58826929546859,0.9206441079762868,,112.30745544433594,,129169170.0,
2020-10-13,125.2699966430664,125.38999938964844,119.6500015258789,121.0999984741211,119.82179260253906,262330500,55.096963315234376,1.2074830278384212,,112.5825210571289,,145464000.0,
2020-10-14,121.0,123.02999877929688,119.62000274658203,121.19000244140625,119.91084289550781,150712000,55.21618087241248,1.4241053309105354,,113.03073959350586,,146267680.0,
2020-10-15,118.72000122070312,121.19999694824219,118.1500015258789,120.70999908447266,119.4359130859375,112559200,54.38685397889813,1.541554522562592,,113.54376754760742,,145911560.0,
2020-10-16,121.27999877929688,121.55000305175781,118.80999755859375,119.0199966430664,117.76374053955078,115393800,51.45645350772253,1.4903994224582675,,114.14633903503417,,142979740.0,
2020-10-19,119.95999908447266,120.41999816894531,115.66000366210938,115.9800033569336,114.75584411621094,120639300,46.59321375384547,1.206843737510468,,114.43822593688965,,144419290.0,
2020-10-20,116.19999694824219,118.9800033569336,115.62999725341797,117.51000213623047,116.2696762084961,124423700,49.1957057130245,1.085692234101927,,114.72021751403808,,140711840.0,
